"","Protein.Name","Evalue","SPID","ProteinName","Area.mean.N","SD.mean.N","CV.mean.N","Area.mean.S","SD.mean.S","CV.mean.S","N.over.S","S.over.N"
"24","cds.comp102812_c0_seq3|m.6428",2e-09,"P06235","Nodulation protein G (Host-specificity of nodulation protein C)",9.11173438307258e-05,8.08179548185767e-05,0.886965657918179,0.000345010118084816,9.23166498721865e-05,0.267576644953618,0.264100497505774,3.78643739578013
"27","cds.comp103222_c0_seq1|m.6477",3e-108,"O02695","Receptor-type tyrosine-protein phosphatase N2 (R-PTP-N2) (EC 3.1.3.48) (M1851)",0.000126463951594985,7.11690861784907e-05,0.562761840673917,0.000330766331032304,2.82547901572405e-05,0.0854222074812112,0.38233622872164,2.61549893752823
"35","cds.comp103927_c0_seq1|m.6589",4e-57,"Q5SYL3","Protein KIAA0100",0.00911994448169446,0.00187262053084057,0.20533244852524,0.00378249283537611,0.00143507674597415,0.379399726168008,2.41109365664869,0.414749546224577
"36","cds.comp104060_c0_seq1|m.6609",2e-20,"Q6JQN1","Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-)",0.00274975977440803,0.000815164173154946,0.296449231944428,0.0012429600965258,0.000324266191531262,0.260882221752427,2.21226713721051,0.452024976179378
"38","cds.comp104555_c1_seq1|m.6663",2e-44,"Q32LJ4","Tumor protein p63-regulated gene 1-like protein (Mossy fiber terminal-associated vertebrate-specific presynaptic protein) (Protein FAM79A)",0.000383785592177937,9.40993641491045e-05,0.245187328724619,0.000175806658510802,8.38668562864748e-05,0.477040272518015,2.18299804699579,0.458085613670698
"46","cds.comp105634_c1_seq1|m.6836",4e-40,"Q90578","Vitamin D3 hydroxylase-associated protein (VDHAP)",0.00325093934940349,0.00264907821526784,0.814865468269631,0.000977201563107076,0.000475671436722443,0.486769009261523,3.32678484371936,0.300590524177691
"80","cds.comp108641_c0_seq1|m.7553",4e-53,"Q7Z3G6","Prickle-like protein 2",0.000760216536734646,0.000446624594425068,0.58749655242104,0.00203195942971291,0.000530148724246596,0.260905171872205,0.374129781145312,2.6728692833239
"87","cds.comp109259_c0_seq1|m.7704",7e-21,"P15870","Histone H1-delta",0.131435426990176,0.0486714048867327,0.370306590858268,0.273031723631579,0.0364753328975599,0.133593753914027,0.481392510884672,2.07730693226254
"120","cds.comp110133_c0_seq1|m.7960",3e-32,"Q4KKZ1","Uncharacterized protein C1orf158 homolog",0.0114150059067745,0.00409049829109652,0.358343948702552,0.00517091918566449,0.00403242845680824,0.779828172133781,2.20753902679831,0.452993123954119
"125","cds.comp110570_c0_seq1|m.8067",1e-41,"Q91W90","Thioredoxin domain-containing protein 5 (Endoplasmic reticulum resident protein 46) (ER protein 46) (ERp46) (Plasma cell-specific thioredoxin-related protein) (PC-TRP) (Thioredoxin-like protein p46)",0.015083479258052,0.00439518288211583,0.291390521173658,0.00633663904761022,0.00122931750775667,0.194001504349579,2.38035954781748,0.420104601809793
